Arctostaphylos                           | Plant     | Spermatophyta              | -126000       | -11700       | Arctostaphylos
Arctotherium                             | Animal    | Chordata                   | -126000       | 2030         | Arctotherium
Ardea                                    | Animal    | Chordata                   | -126000       | -11700       | Ardea
Ardenna                                  | Animal    | Chordata                   | -126000       | -11700       | Ardenna
Ardeola                                  | Animal    | Chordata                   | -126000       | -11700       | Ardeola
Arenaeus                                 | Animal    | Arthropoda                 | -2588000      | -11700       | Arenaeus
Arenaria                                 | Animal    | Chordata                   | -126000       | 2030         | Arenaria
Arene                                    | Animal    | Mollusca                   | -126000       | -11700       | Arene
Argentina                                | Animal    | Chordata                   | -126000       | -11700       | Argentina
Argilloecia                              | Animal    | Arthropoda                 | -126000       | -11700       | <>
Argobuccinum                             | Animal    | Mollusca                   | -126000       | -11700       | Argobuccinum
Argopecten                               | Animal    | Mollusca                   | -126000       | 2030         | Argopecten
Argophyllum                              | Plant     | Spermatophyta              | -126000       | 2030         | Argophyllum
Argyrodendron                            | Plant     | Spermatophyta              | -126000       | 2030         | Argyrodendron
Argyrolagus                              | Animal    | Chordata                   | -781000       | -12000       | Argyrolagus
Argyropelecus                            | Animal    | Chordata                   | -2588000      | -126000      | Argyropelecus
Argyrotheca                              | Animal    | Brachiopoda                | -781000       | -126000      | Argyrotheca
Ariadna                                  | Animal    | Arthropoda                 | -5333000      | -11700       | Ariadna
Aristelliger                             | Animal    | Chordata                   | -126000       | 2030         | Aristelliger
Arius                                    | Animal    | Chordata                   | -126000       | -11700       | Arius
Arizona                                  | Animal    | Chordata                   | -126000       | 2030         | Arizona
Arnoglossus                              | Animal    | Chordata                   | -2588000      | -126000      | Arnoglossus
Arossia                                  | Animal    | Arthropoda                 | -2588000      | -11700       | Arossia
Arpedium                                 | Animal    | Arthropoda                 | -126000       | -11700       | Arpedium
