Anomalinoides                            | Micro     | Foraminifera               | -33900000     | -23030000    | <>
Anomalocardia                            | Animal    | Mollusca                   | -28400000     | -23030000    | Anomalocardia
Anomia                                   | Animal    | Mollusca                   | -28400000     | -15970000    | Anomia_(bivalve)
Anomoemys                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Anomotherium                             | Animal    | Chordata                   | -28400000     | -23030000    | Anomotherium
Anoplotherium                            | Animal    | Chordata                   | -33900000     | -28100000    | Anoplotherium
Anoura                                   | Animal    | Chordata                   | -33900000     | -23030000    | Anoura
Anoxypristis                             | Animal    | Chordata                   | -28400000     | -23030000    | Anoxypristis
Anserpica                                | Animal    | Chordata                   | -33900000     | -28100000    | <>
Ansomys                                  | Animal    | Chordata                   | -28400000     | -23030000    | <>
Antalis                                  | Animal    | Mollusca                   | -33900000     | -23030000    | Antalis
Antawallathentes                         | Animal    | Chordata                   | -29000000     | -21000000    | <>
Anthaxia                                 | Animal    | Arthropoda                 | -33900000     | -28400000    | Anthaxia
Anthidium                                | Animal    | Arthropoda                 | -28400000     | -23030000    | Anthidium
Anthoceros                               | Plant     | Anthocerophyta             | -28400000     | -11608000    | Anthoceros
Anthocyrtidium                           | Micro     | Radiolaria                 | -33900000     | -23030000    | <>
Antholithes                              | Plant     | Pteridospermophyta         | -33900000     | -23030000    | <>
Anthomyia                                | Animal    | Arthropoda                 | -28400000     | -23030000    | Anthomyia
Anthophagus                              | Animal    | Arthropoda                 | -28400000     | -23030000    | Anthophagus
Anthracida                               | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Anthracochoerus                          | Animal    | Chordata                   | -33900000     | -28400000    | <>
Anthracotherium                          | Animal    | Chordata                   | -28400000     | -15970000    | Anthracotherium
Anthropornis                             | Animal    | Chordata                   | -28400000     | -15970000    | Anthropornis
Antigona                                 | Animal    | Mollusca                   | -28400000     | -23030000    | Antigona_(bivalve)
Antiguastrea                             | Animal    | Cnidaria                   | -28400000     | -23030000    | <>
Antillipecten                            | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Antillophos                              | Animal    | Mollusca                   | -28400000     | -23030000    | Antillophos
Antilohyrax                              | Animal    | Chordata                   | -33900000     | -28100000    | Antilohyrax
Antimelatoma                             | Animal    | Mollusca                   | -28400000     | -15970000    | Antimelatoma
Antropora                                | Animal    | Bryozoa                    | -33900000     | -28100000    | Antropora
Aoteadrillia                             | Animal    | Mollusca                   | -33900000     | -28400000    | Aoteadrillia
Apalone                                  | Animal    | Chordata                   | -28400000     | -23030000    | Apalone
Apeomys                                  | Animal    | Chordata                   | -28400000     | -22400000    | <>
Aphaenogaster                            | Animal    | Arthropoda                 | -28400000     | -23030000    | Aphaenogaster
Aphanus                                  | Animal    | Arthropoda                 | -28400000     | -23030000    | Aphanus
Aphidecta                                | Animal    | Arthropoda                 | -33900000     | -28400000    | Aphidecta
Aphodius                                 | Animal    | Arthropoda                 | -28400000     | -23030000    | Aphodius
Aphrocallistes                           | Animal    | Porifera                   | -33900000     | -28100000    | Aphrocallistes
Aphrophora                               | Animal    | Arthropoda                 | -28400000     | -23030000    | Aphrophora
Apidium Parapithecidae                   | Animal    | Chordata                   | -33900000     | -28100000    | Apidium
Apiocypraea                              | Animal    | Mollusca                   | -33900000     | -28100000    | <>
Apiotoma                                 | Animal    | Mollusca                   | -28400000     | -15970000    | Apiotoma
Apis                                     | Animal    | Arthropoda                 | -28400000     | -23030000    | Apis
Apletotomeus                             | Animal    | Chordata                   | -33900000     | -33300000    | <>
Aplodinotus                              | Animal    | Chordata                   | -33900000     | -28400000    | Aplodinotus
Apocynophyllum                           | Plant     | Spermatophyta              | -33900000     | -23030000    | <>
Apocynospermum                           | Plant     | Spermatophyta              | -33900000     | -28100000    | <>
Apolymetis                               | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Aporrhais                                | Animal    | Mollusca                   | -33900000     | -23030000    | Aporrhais
Apostasella                              | Animal    | Chordata                   | -33900000     | -23030000    | <>
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Aprotodon                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Apternodus                               | Animal    | Chordata                   | -33900000     | -33300000    | <>
Apterodon                                | Animal    | Chordata                   | -28400000     | -23030000    | Apterodon
Aptyxis                                  | Animal    | Mollusca                   | -33900000     | -28100000    | Aptyxis
Aquilofusus                              | Animal    | Mollusca                   | -33900000     | -28100000    | <>
Araceaeites                              | Plant     | Angiospermae               | -33900000     | -23030000    | <>
Arachnopusia                             | Animal    | Bryozoa                    | -33900000     | -28100000    | <>
Aracispermum                             | Plant     | Angiospermae               | -33900000     | -28100000    | <>
Aralia                                   | Plant     | Spermatophyta              | -33900000     | -23030000    | Aralia
Aralocricetodon                          | Animal    | Chordata                   | -28400000     | -23030000    | <>
