Beatricea                                | Micro     | Radiolaria                 | -460900000    | -443700000   | <>
Bekkerella                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Bekkerina                                | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellerophon                              | Animal    | Mollusca                   | -457500000    | -452500000   | Bellerophon_(genus)
Bellimurina                              | Animal    | Brachiopoda                | -455800000    | -445600000   | <>
Bellornatia                              | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Belochthus                               | Animal    | Echinodermata              | -460900000    | -457500000   | <>
Belodella                                | Animal    | Chordata                   | -455800000    | -445600000   | <>
Belodina                                 | Animal    | Chordata                   | -455800000    | -445600000   | <>
Beloitoceras                             | Animal    | Mollusca                   | -455800000    | -443400000   | <>
Belonechitina                            | Micro     | Sarcodina                  | -458400000    | -453000000   | Belonechitina
Belubulaia                               | Animal    | Porifera                   | -456100000    | -449500000   | <>
Belubulaspongia                          | Animal    | Porifera                   | -456100000    | -449500000   | <>
Berenicea                                | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Besselodus                               | Animal    | Chordata                   | -458400000    | -443400000   | <>
Beukeria                                 | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Bevanopsis                               | Animal    | Arthropoda                 | -466000000    | -457500000   | Bevanopsis
Beyrichia                                | Animal    | Arthropoda                 | -455800000    | -445600000   | <>
Bichilina                                | Animal    | Arthropoda                 | -455800000    | -452000000   | <>
Bicuspina                                | Animal    | Brachiopoda                | -455800000    | -449500000   | <>
Bienvillia                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Biernatia                                | Animal    | Brachiopoda                | -456100000    | -449500000   | <>
Bighornia                                | Animal    | Cnidaria                   | -458400000    | -443400000   | <>
Billingsaria                             | Animal    | Cnidaria                   | -456100000    | -449500000   | <>
Billingsites                             | Animal    | Mollusca                   | -460900000    | -443700000   | <>
Bilobia                                  | Animal    | Brachiopoda                | -455800000    | -452000000   | <>
Bimuria                                  | Animal    | Brachiopoda                | -455800000    | -445600000   | Bimuria
Birksfeldia                              | Animal    | Chordata                   | -458400000    | -443400000   | <>
Birmanites                               | Animal    | Arthropoda                 | -455800000    | -445600000   | Birmanites
Bistomiacystis                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bistramia                                | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Bitrigonocardia                          | Animal    | Mollusca                   | -457500000    | -455800000   | <>
Bivia                                    | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Blastoidocrinus                          | Animal    | Echinodermata              | -458400000    | -453000000   | <>
Blosyropsis                              | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Bodenia                                  | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bodophyllum                              | Animal    | Cnidaria                   | -455800000    | -445600000   | <>
Boeckaspis                               | Animal    | Arthropoda                 | -485400000    | -443400000   | <>
Bohemiaecystis                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bohemilla                                | Animal    | Arthropoda                 | -457500000    | -445600000   | <>
Bokotorthis                              | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Bolbina                                  | Animal    | Arthropoda                 | -455800000    | -452000000   | <>
Bolbocephalus                            | Animal    | Arthropoda                 | -471800000    | -457500000   | Bolbocephalus
Bolbochasmops                            | Animal    | Arthropoda                 | -460900000    | -449500000   | Bolbochasmops
Bolbopisthia                             | Animal    | Arthropoda                 | -458400000    | -453000000   | <>
Bolboporites                             | Animal    | Echinodermata              | -466000000    | -457500000   | Bolboporites
Bollia                                   | Animal    | Arthropoda                 | -455800000    | -445600000   | <>
Boonderooia                              | Animal    | Porifera                   | -456100000    | -449500000   | <>
Boreadorthis                             | Animal    | Brachiopoda                | -455800000    | -445600000   | <>
Borealaspis                              | Animal    | Arthropoda                 | -460900000    | -449500000   | Borealaspis
Bothriocidaris                           | Animal    | Echinodermata              | -457500000    | -449500000   | Bothriocidaris
Boticium                                 | Animal    | Brachiopoda                | -455800000    | -445600000   | <>
Botrioides                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Boucotspira                              | Animal    | Mollusca                   | -455800000    | -445600000   | <>
Bowanophyllum                            | Animal    | Cnidaria                   | -456100000    | -443700000   | <>
Bowanorthis                              | Animal    | Brachiopoda                | -456100000    | -449500000   | <>
Brachaktassia                            | Animal    | Brachiopoda                | -466000000    | -449500000   | <>
Brachiospongia                           | Animal    | Porifera                   | -460900000    | -449500000   | <>
Brachyaspis                              | Animal    | Arthropoda                 | -455800000    | -443400000   | <>
Brachymimulus                            | Animal    | Brachiopoda                | -460900000    | -443700000   | <>
Brachyopterus                            | Animal    | Arthropoda                 | -458400000    | -453000000   | Brachyopterus
Brachytomaria                            | Animal    | Mollusca                   | -455800000    | -443400000   | <>
Brechmocrinus                            | Animal    | Echinodermata              | -471800000    | -457500000   | <>
Brevibolbina                             | Animal    | Arthropoda                 | -460900000    | -455800000   | <>
Brevilamnulella                          | Animal    | Brachiopoda                | -455800000    | -443400000   | <>
Broeggeroceras                           | Animal    | Mollusca                   | -457500000    | -452000000   | <>
Broeggerolithus                          | Animal    | Arthropoda                 | -455800000    | -449500000   | <>
Bromidechinus                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bromidella                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bromidocrinus                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bromidocystis                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Brongniartella                           | Animal    | Arthropoda                 | -455800000    | -445600000   | Brongniartella
Bronteopsis                              | Animal    | Arthropoda                 | -455800000    | -445600000   | <>
Bryantodina                              | Animal    | Chordata                   | -457500000    | -452000000   | <>
Bucanella                                | Animal    | Mollusca                   | -455800000    | -445600000   | <>
Bucania                                  | Animal    | Mollusca                   | -455800000    | -452000000   | <>
Bucanopsina                              | Animal    | Mollusca                   | -457500000    | -445600000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -455800000    | -445600000   | <>
Bulbaspis                                | Animal    | Arthropoda                 | -458400000    | -453000000   | Bulbaspis
Bullaeferum                              | Animal    | Arthropoda                 | -466000000    | -449500000   | <>
Bullatella                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bumastoides                              | Animal    | Arthropoda                 | -458400000    | -453000000   | <>
Bumastus                                 | Animal    | Arthropoda                 | -455800000    | -445600000   | Bumastus
Byrsolopsina                             | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Byssodesma                               | Animal    | Mollusca                   | -457500000    | -455800000   | <>
Bystromena                               | Animal    | Brachiopoda                | -460900000    | -455800000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -455800000    | -449500000   | <>
Bythopora                                | Animal    | Bryozoa                    | -458400000    | -453000000   | <>
Cacemia                                  | Animal    | Brachiopoda                | -460900000    | -457500000   | <>
Cadomia                                  | Animal    | Mollusca                   | -460900000    | -457500000   | <>
Caeroplecia                              | Animal    | Brachiopoda                | -457500000    | -455800000   | <>
Cahabagnathus                            | Animal    | Chordata                   | -460900000    | -449500000   | <>
Calapoecia                               | Animal    | Cnidaria                   | -455800000    | -445600000   | <>
Calathium                                | Plant     | Chlorophyta                | -466000000    | -457500000   | <>
Calceocrinus                             | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Caleidocrinus                            | Animal    | Echinodermata              | -457500000    | -445600000   | Caleidocrinus
Calipernurus                             | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Calix                                    | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Callograptus                             | Animal    | Hemichordata               | -458400000    | -455800000   | Callograptus
