Coenites                                 | Animal    | Cnidaria                   | -382700000    | -358900000   | Coenites
Coenostroma                              | Animal    | Porifera                   | -376100000    | -370600000   | <>
Coloniacirrus                            | Animal    | Mollusca                   | -372200000    | -358900000   | <>
Colophragma                              | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Commutatophyllum                         | Animal    | Cnidaria                   | -372200000    | -358900000   | <>
Composita                                | Animal    | Brachiopoda                | -364700000    | -360700000   | Composita
Conchodus                                | Animal    | Chordata                   | -382700000    | -358900000   | Conchodus
Condrusia                                | Plant     | Spermatophyta              | -364700000    | -360700000   | <>
Conilophyllum                            | Animal    | Cnidaria                   | -370600000    | -364700000   | <>
Conocardium                              | Animal    | Mollusca                   | -364700000    | -360700000   | Conocardium
Conopoterium                             | Animal    | Cnidaria                   | -364700000    | -360700000   | <>
Constantina                              | Animal    | Arthropoda                 | -372200000    | -358900000   | Constantina
Conularia                                | Animal    | Cnidaria                   | -364700000    | -360700000   | <>
Convolutispora                           | Plant     | Pteridophyta               | -364700000    | -346700000   | <>
Cordaites                                | Plant     | Pinophyta                  | -382700000    | -358900000   | Cordaites
Cornellites                              | Animal    | Mollusca                   | -382700000    | -358900000   | <>
Cornulites                               | Animal    | Lophotrochozoa             | -364700000    | -360700000   | Cornulites
Corticospongia                           | Animal    | Porifera                   | -372200000    | -358900000   | <>
Corythoecia                              | Micro     | Radiolaria                 | -382700000    | -358900000   | <>
Cosmetocrinus                            | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Cosmocrinus                              | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Costaclymenia                            | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Cranaena                                 | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Crania                                   | Animal    | Brachiopoda                | -364700000    | -360700000   | Crania_(brachiopod)
Craniops                                 | Animal    | Brachiopoda                | -419200000    | -358900000   | Craniops
Cribrosphaeroides                        | Micro     | Foraminifera               | -370600000    | -364700000   | <>
Crickites                                | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Crinisarina                              | Animal    | Brachiopoda                | -370600000    | -364700000   | <>
Crurithyris                              | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Cryphops                                 | Animal    | Arthropoda                 | -364700000    | -360700000   | Cryphops
Cryptonella                              | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Cryptophyllus                            | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Cryptospirifer                           | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Ctenacanthus                             | Animal    | Chordata                   | -372200000    | -358900000   | Ctenacanthus
Ctenoloculina                            | Animal    | Arthropoda                 | -419200000    | -358900000   | <>
Cucullaea                                | Animal    | Mollusca                   | -364700000    | -360700000   | Cucullaea
Cuneognathus                             | Animal    | Chordata                   | -372200000    | -358900000   | <>
Cupressocrinites                         | Animal    | Echinodermata              | -364700000    | -360700000   | Cupressocrinites
Cupularostrum                            | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Cyathaxonia                              | Animal    | Cnidaria                   | -364700000    | -360700000   | <>
Cyathoclisia                             | Animal    | Cnidaria                   | -372200000    | -358900000   | <>
Cyathophyllum                            | Animal    | Cnidaria                   | -382700000    | -358900000   | <>
Cyclocaudiculus                          | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Cyclocion                                | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Cyclonema                                | Animal    | Mollusca                   | -419200000    | -358900000   | Cyclonema
Cyclostelechus                           | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Cymaclymenia                             | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Cypricardella                            | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -364700000    | -360700000   | Cypricardinia
Cyrtentactinia                           | Micro     | Radiolaria                 | -382700000    | -358900000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Cyrtiopsis                               | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Cyrtiorina                               | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Cyrtoclymenia                            | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Cyrtogomphus                             | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Cyrtospirifer                            | Animal    | Brachiopoda                | -364700000    | -360700000   | Cyrtospirifer
Cyrtosymbole                             | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Cystelasma                               | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Cystihalysites                           | Animal    | Cnidaria                   | -443400000    | -358900000   | <>
Cystodictya                              | Animal    | Bryozoa                    | -419200000    | -358900000   | Cystodictya
Cystophrentis                            | Animal    | Cnidaria                   | -364700000    | -360700000   | <>
Cystostroma                              | Animal    | Porifera                   | -364700000    | -360700000   | <>
Cytherellina                             | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Czarnoclymenia                           | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Daihuaia                                 | Animal    | Arthropoda                 | -372200000    | -358900000   | <>
Dalmanella                               | Animal    | Brachiopoda                | -372200000    | -346700000   | <>
Decadocrinus                             | Animal    | Echinodermata              | -372200000    | -358900000   | Decadocrinus
Decorochilina                            | Animal    | Mollusca                   | -372200000    | -358900000   | <>
Deltacrinus                              | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Delthyris                                | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Dendrostella                             | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Dendrostroma                             | Animal    | Porifera                   | -419200000    | -358900000   | <>
Densignathus                             | Animal    | Chordata                   | -364700000    | -360700000   | Densignathus
Dentiannulates                           | Animal    | Lophotrochozoa             | -372200000    | -358900000   | <>
Derbyia                                  | Animal    | Brachiopoda                | -372200000    | -346700000   | <>
Desquamatia                              | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Devonochonetes                           | Animal    | Brachiopoda                | -393300000    | -358900000   | <>
Diacoryphe                               | Animal    | Arthropoda                 | -372200000    | -358900000   | <>
Dianops                                  | Animal    | Arthropoda                 | -364700000    | -360700000   | Dianops
Dibunophyllum                            | Animal    | Cnidaria                   | -364700000    | -360700000   | <>
Dichospirifer                            | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Dictyobembix                             | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Dictyotomaria                            | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Dielasma                                 | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Dielasmella                              | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Dienstina                                | Animal    | Arthropoda                 | -364700000    | -360700000   | Dienstina
Dignomia                                 | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Diichnia                                 | Plant     | Ginkgophyta                | -372200000    | -358900000   | <>
Dimeroceras                              | Animal    | Mollusca                   | -370600000    | -364700000   | <>
Dinichthys                               | Animal    | Chordata                   | -364700000    | -360700000   | Dinichthys
Diphyphyllum                             | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Diplochone                               | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
