Blastochaetetes                          | Animal    | Porifera                   | -145000000    | -136400000   | <>
Blattidium                               | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Blattula                                 | Animal    | Arthropoda                 | -145000000    | -139800000   | <>
Blechnum                                 | Plant     | Pteridophyta               | -152100000    | -139800000   | Blechnum
Bochianites                              | Animal    | Mollusca                   | -140200000    | -136400000   | Bochianites
Bogoslovskya                             | Animal    | Mollusca                   | -145000000    | -139800000   | Bogoslovskya
Bojarkaella                              | Micro     | Foraminifera               | -145000000    | -139800000   | <>
Bolodon                                  | Animal    | Chordata                   | -145000000    | -136400000   | Bolodon
Borealites                               | Animal    | Mollusca                   | -145000000    | -139800000   | <>
Bothroptera                              | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Botryococcus                             | Plant     | Chlorophyta                | -145000000    | -136400000   | Botryococcus
Brachaelurus                             | Animal    | Chordata                   | -140200000    | -136400000   | Brachaelurus
Brachyphyllum                            | Plant     | Coniferophyta              | -140200000    | -136400000   | Brachyphyllum
Bralitzia                                | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Bramkampella                             | Micro     | Foraminifera               | -145000000    | -136400000   | <>
Brancasaurus                             | Animal    | Chordata                   | -145000000    | -140200000   | Brancasaurus
Branchiocarcinus                         | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Brannerion                               | Animal    | Chordata                   | -145000000    | -100500000   | Brannerion
Breistrofferella                         | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Britannacrida                            | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Brochocoleus                             | Animal    | Arthropoda                 | -145000000    | -140200000   | Brochocoleus
Brodilka                                 | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Brontopodus                              | Animal    | Chordata                   | -145000000    | -100500000   | Brontopodus
Brotiopsis                               | Animal    | Mollusca                   | -145000000    | -130000000   | <>
Buccicrenata                             | Micro     | Foraminifera               | -145000000    | -140200000   | <>
Buchia                                   | Animal    | Mollusca                   | -140200000    | -130000000   | <>
Bullopora                                | Micro     | Foraminifera               | -140200000    | -136400000   | <>
Buprestium                               | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Buratina                                 | Animal    | Arthropoda                 | -150800000    | -139800000   | <>
Burdigalocrinus                          | Animal    | Echinodermata              | -145000000    | -140200000   | <>
Burejospermum                            | Plant     | Ginkgophyta                | -145000000    | -130000000   | <>
Busnardoites                             | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Buvignieria                              | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Cadiera                                  | Animal    | Chordata                   | -140200000    | -136400000   | <>
Cadosina                                 | Micro     | Ciliophora                 | -140200000    | -136400000   | <>
Caestocorbula                            | Animal    | Mollusca                   | -145000000    | -139800000   | Caestocorbula
Calamophylliopsis                        | Animal    | Cnidaria                   | -145000000    | -132900000   | Calamophylliopsis
Calamopleurus                            | Animal    | Chordata                   | -145000000    | -100500000   | Calamopleurus
Calcicalathina                           | Plant     | Haptophyta                 | -145000000    | -139800000   | <>
