Antechinomys                             | Animal    | Chordata                   | -2588000      | -11700       | Antechinomys
Antechinus                               | Animal    | Chordata                   | -781000       | -11700       | Antechinus
Anthemiphyllia                           | Animal    | Cnidaria                   | -2588000      | -11700       | <>
Anthicus                                 | Animal    | Arthropoda                 | -781000       | -126000      | Anthicus
Anthoceros                               | Plant     | Anthocerophyta             | -2588000      | -11700       | Anthoceros
Anthonomus                               | Animal    | Arthropoda                 | -781000       | -126000      | Anthonomus
Anthus                                   | Animal    | Chordata                   | -781000       | -126000      | Anthus
Anticlimax                               | Animal    | Mollusca                   | -781000       | -126000      | Anticlimax_(gastropod)
Antidorcas                               | Animal    | Chordata                   | -781000       | -11700       | Antidorcas
Antifer                                  | Animal    | Chordata                   | -781000       | -12000       | Antifer
Antigona                                 | Animal    | Mollusca                   | -781000       | -126000      | Antigona_(bivalve)
Antigone                                 | Animal    | Chordata                   | -2588000      | -11700       | <>
Antillipecten                            | Animal    | Mollusca                   | -781000       | -126000      | <>
Antillophos                              | Animal    | Mollusca                   | -781000       | -11700       | Antillophos
Antillophyllia                           | Animal    | Cnidaria                   | -2588000      | 2030         | Antillophyllia
Antillothrix                             | Animal    | Chordata                   | -2588000      | -11700       | Antillothrix
Antilocapra                              | Animal    | Chordata                   | -1800000      | -12000       | Antilocapra
Antilope                                 | Animal    | Chordata                   | -2588000      | -11700       | Antilope
Antiplanes                               | Animal    | Mollusca                   | -781000       | -126000      | Antiplanes
Aonyx                                    | Animal    | Chordata                   | -781000       | -126000      | Aonyx
Aorotrema                                | Animal    | Mollusca                   | -781000       | -126000      | Aorotrema
Apalone                                  | Animal    | Chordata                   | -300000       | -12000       | Apalone
Aphananthe                               | Plant     | Spermatophyta              | -781000       | 2030         | Aphananthe
Aphanopus                                | Animal    | Chordata                   | -2588000      | -126000      | Aphanopus
Aphelocoma                               | Animal    | Chordata                   | -300000       | -12000       | Aphelocoma
Aphelops                                 | Animal    | Chordata                   | -1800000      | -300000      | Aphelops
Aphia                                    | Animal    | Chordata                   | -781000       | -126000      | Aphia
Aphodius                                 | Animal    | Arthropoda                 | -781000       | -126000      | Aphodius
Apion                                    | Animal    | Arthropoda                 | -781000       | -126000      | Apion
Aploderus                                | Animal    | Arthropoda                 | -781000       | -126000      | Aploderus
Aplodinotus                              | Animal    | Chordata                   | -300000       | -12000       | Aplodinotus
Apodemus                                 | Animal    | Chordata                   | -781000       | -11700       | Apodemus
Apoderus                                 | Animal    | Arthropoda                 | -781000       | -126000      | Apoderus
Apodytes                                 | Plant     | Spermatophyta              | -2588000      | -11700       | Apodytes
Apolymetis                               | Animal    | Mollusca                   | -2588000      | 2030         | <>
Aporrhais                                | Animal    | Mollusca                   | -781000       | -11700       | Aporrhais
Apsena                                   | Animal    | Arthropoda                 | -300000       | -12000       | <>
Apus                                     | Animal    | Chordata                   | -781000       | -126000      | <>
Aquila                                   | Animal    | Chordata                   | -300000       | -12000       | Aquila_(bird)
