Archelcana                               | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Archibio                                 | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archicapsa                               | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Archicercopis                            | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archiconiopteryx                         | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archijassus                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archipleciomima                          | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Archipsylla                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archiptilia                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archirhyphus                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archithemis                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Architipula                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Arcomya                                  | Animal    | Mollusca                   | -182700000    | -174100000   | <>
Arcomytilus                              | Animal    | Mollusca                   | -182700000    | -174100000   | <>
Arctica                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Arctica_(bivalve)
Arctotis                                 | Animal    | Mollusca                   | -175600000    | -171600000   | Arctotis
Ardela                                   | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Ares                                     | Micro     | Radiolaria                 | -175600000    | -171600000   | Ares
Argentoconodon                           | Animal    | Chordata                   | -182000000    | -175600000   | Argentoconodon
Arieticeras                              | Animal    | Mollusca                   | -183000000    | -182000000   | Arieticeras
Arnioceras                               | Animal    | Mollusca                   | -201300000    | -174100000   | Arnioceras
Artematopodites                          | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Artostrobium                             | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Asfaltomylos                             | Animal    | Chordata                   | -182000000    | -175600000   | Asfaltomylos
Asfaltovenator                           | Animal    | Chordata                   | -180100000    | -168400000   | Asfaltovenator
Asiathauma                               | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Asiobittacus                             | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Aspidistes                               | Plant     | Pteridophyta               | -175600000    | -171600000   | <>
Astacolus                                | Micro     | Foraminifera               | -175600000    | -171600000   | <>
Astarte                                  | Animal    | Mollusca                   | -175600000    | -145000000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -175600000    | -171600000   | Asteracanthus
Asteroceras                              | Animal    | Mollusca                   | -201300000    | -174100000   | Asteroceras
Asthenoceras                             | Animal    | Mollusca                   | -175600000    | -171600000   | Asthenoceras
Astrocoenia                              | Animal    | Cnidaria                   | -201300000    | -163500000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Atractites                               | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Atreta                                   | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Auchenophorites                          | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Aucklandirhynchia                        | Animal    | Brachiopoda                | -175600000    | -161200000   | <>
Audaxlytoceras                           | Animal    | Mollusca                   | -182000000    | -175600000   | Audaxlytoceras
Aulacothyris                             | Animal    | Brachiopoda                | -175600000    | -171600000   | <>
