Arbutus                                  | Plant     | Spermatophyta              | -10300000     | -4900000     | Arbutus
Arca                                     | Animal    | Mollusca                   | -11608000     | -2588000     | Arca
Archaebalaenoptera                       | Animal    | Chordata                   | -5333000      | -3600000     | Archaebalaenoptera
Archaeobalaena                           | Animal    | Chordata                   | -5333000      | -3600000     | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -5333000      | -2588000     | <>
Archaeodesmana                           | Animal    | Chordata                   | -4200000      | -3200000     | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -5333000      | -2588000     | <>
Archaeopotamus                           | Animal    | Chordata                   | -11608000     | -2588000     | Archaeopotamus
Archaeosimos                             | Animal    | Chordata                   | -11608000     | -3600000     | <>
Archaias                                 | Micro     | Foraminifera               | -5333000      | -2588000     | <>
Archerium                                | Animal    | Chordata                   | -5333000      | -2588000     | <>
Architectonica                           | Animal    | Mollusca                   | -11608000     | -2588000     | Architectonica
Archosargus                              | Animal    | Chordata                   | -5333000      | -3600000     | Archosargus
Arcinella                                | Animal    | Mollusca                   | -5333000      | -11700       | Arcinella
Arcopagia                                | Animal    | Mollusca                   | -5333000      | -11700       | <>
Arcopaginula                             | Animal    | Mollusca                   | -5333000      | -11700       | <>
Arcoperna                                | Animal    | Mollusca                   | -5333000      | -2588000     | <>
Arcopsis                                 | Animal    | Mollusca                   | -5333000      | -11700       | <>
Arctica                                  | Animal    | Mollusca                   | -11608000     | -3600000     | Arctica_(bivalve)
Arctisorex                               | Animal    | Chordata                   | -5333000      | -3600000     | <>
Arctocephalus                            | Animal    | Chordata                   | -5333000      | -3600000     | Arctocephalus
Arctodus                                 | Animal    | Chordata                   | -4900000      | -300000      | Arctodus
Arctomeles                               | Animal    | Chordata                   | -10300000     | -1800000     | <>
Arctonasua                               | Animal    | Chordata                   | -10300000     | -4900000     | Arctonasua
Arctostaphyloides                        | Plant     | Spermatophyta              | -5333000      | -2588000     | <>
Arctotherium                             | Animal    | Chordata                   | -4900000      | -1800000     | Arctotherium
