Bowmanites                               | Plant     | Equisetophyta              | -318100000    | -314600000   | <>
Brabeocrinus                             | Animal    | Echinodermata              | -323200000    | -315200000   | <>
Brachycycloceras                         | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Brachydectes                             | Animal    | Chordata                   | -318100000    | -314600000   | Brachydectes
Brachymetopus                            | Animal    | Arthropoda                 | -323200000    | -315200000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -358900000    | -252170000   | Brachyphyllum
Brachypyge                               | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Brachythyrina                            | Animal    | Brachiopoda                | -318100000    | -306950000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Bradyina                                 | Micro     | Foraminifera               | -318100000    | -311450000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -339400000    | -318100000   | <>
Branneroceras                            | Animal    | Mollusca                   | -318100000    | -314600000   | Branneroceras
Bransonella                              | Animal    | Chordata                   | -323200000    | -315200000   | Bransonella
Brasilioproductus                        | Animal    | Brachiopoda                | -318100000    | -311450000   | <>
Brevikites                               | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Breyeria                                 | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Brodia                                   | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Brodioptera                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Bruktererpeton                           | Animal    | Chordata                   | -318100000    | -314600000   | Bruktererpeton
Bryantodus                               | Animal    | Chordata                   | -358900000    | -298900000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -318100000    | -313800000   | <>
Bulahdelia                               | Animal    | Brachiopoda                | -346700000    | -314600000   | <>
Bulimorpha                               | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -318100000    | -306950000   | <>
Buxtonioides                             | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Cactocrinus                              | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Caenolyroceras                           | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Caerorhachis                             | Animal    | Chordata                   | -326400000    | -318100000   | Caerorhachis
Calamites                                | Plant     | Sphenophyta                | -318100000    | -306950000   | Calamites
Calamocarpon                             | Plant     | Sphenophyta                | -323200000    | -298900000   | <>
Calamodendron                            | Plant     | Sphenophyta                | -323200000    | -298900000   | <>
Calamospora                              | Plant     | Sphenophyta                | -318100000    | -298900000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -318100000    | -306950000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -358900000    | -252170000   | Calceolispongia
Calcitornella                            | Micro     | Foraminifera               | -323200000    | -307000000   | <>
Calcivertella                            | Micro     | Foraminifera               | -323200000    | -307000000   | <>
Calligenethlon                           | Animal    | Chordata                   | -318100000    | -314600000   | Calligenethlon
Callipteris                              | Plant     | Peltaspermophyta           | -323200000    | -298900000   | Callipteris
Callistophyton                           | Plant     | Ginkgophyta                | -323200000    | -298900000   | <>
Callitomaria                             | Animal    | Mollusca                   | -323200000    | -307000000   | <>
Calloconularia                           | Animal    | Cnidaria                   | -323200000    | -315200000   | <>
Callospiriferina                         | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Calophyllum Polycoeliidae                 | Animal    | Cnidaria                   | -323200000    | -307000000   | <>
Calycocrinus                             | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -326400000    | -318100000   | Camarotoechia
Campophyllum                             | Animal    | Cnidaria                   | -326400000    | -318100000   | <>
Campteroneura                            | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Camptocrinus                             | Animal    | Echinodermata              | -339400000    | -318100000   | <>
Camptodiapha                             | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Campylocephalus                          | Animal    | Arthropoda                 | -326400000    | -318100000   | Campylocephalus
Campyloprion                             | Animal    | Chordata                   | -323200000    | -298900000   | <>
Cancelloceras                            | Animal    | Mollusca                   | -318100000    | -314600000   | Cancelloceras
Cancrinella                              | Animal    | Brachiopoda                | -318100000    | -305900000   | <>
Caneyella                                | Animal    | Mollusca                   | -318100000    | -305900000   | <>
Caninia                                  | Animal    | Cnidaria                   | -323200000    | -252170000   | Caninia_(coral)
