Calamopitys                              | Plant     | Ginkgophyta                | -383700000    | -382400000   | <>
Calamospora                              | Plant     | Sphenophyta                | -382700000    | -358900000   | <>
Calceola                                 | Animal    | Cnidaria                   | -388100000    | -382400000   | <>
Caliapora                                | Animal    | Cnidaria                   | -387700000    | -372200000   | Caliapora
Caligella                                | Micro     | Foraminifera               | -382700000    | -346700000   | <>
Calleocrinus                             | Animal    | Echinodermata              | -379500000    | -376100000   | <>
Calvinaria                               | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -376100000    | -370600000   | Camarotoechia
Camuropiscis                             | Animal    | Chordata                   | -382700000    | -372200000   | Camuropiscis
Canadiphyllum                            | Animal    | Cnidaria                   | -376100000    | -370600000   | <>
Cancelloplatyceras                       | Animal    | Mollusca                   | -379500000    | -376100000   | <>
Caninia                                  | Animal    | Cnidaria                   | -382700000    | -358900000   | Caninia
Caninophyllum                            | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Canningella Anthaspidellidae	           | Animal    | Porifera                   | -376100000    | -370600000   | Canningella
Canutrypa                                | Animal    | Bryozoa                    | -379500000    | -376100000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -393300000    | -372200000   | <>
Careophyllum                             | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Carinatina                               | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Cariniferella                            | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Carinoceras                              | Animal    | Mollusca                   | -379500000    | -376100000   | <>
Carydium                                 | Animal    | Mollusca                   | -382700000    | -372200000   | <>
Caryorhynchus                            | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Cassidirostrum                           | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Catactotoechus                           | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -382700000    | -358900000   | <>
