Chaetetipora                             | Animal    | Porifera                   | -336000000    | -323200000   | <>
Chaloneria                               | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -358900000    | -298900000   | <>
Cheggatella                              | Plant     | Rhodophyta                 | -330900000    | -323200000   | <>
Cheilotrypa                              | Animal    | Bryozoa                    | -330900000    | -323200000   | <>
Chiridota                                | Animal    | Echinodermata              | -326400000    | -318100000   | Chiridota
Chirodus                                 | Animal    | Chordata                   | -358900000    | -323200000   | <>
Choctawites                              | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Chomatodus                               | Animal    | Chordata                   | -358900000    | -323200000   | Chomatodus
Chonetes                                 | Animal    | Brachiopoda                | -326400000    | -318100000   | Chonetes
Chonetinella                             | Animal    | Brachiopoda                | -358900000    | -298900000   | <>
Chonetipustula                           | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Choristites                              | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Cinclidonema                             | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Cladochonus                              | Animal    | Cnidaria                   | -330900000    | -323200000   | Cladochonus
Cladodus                                 | Animal    | Chordata                   | -330900000    | -323200000   | Cladodus
Cladoxylon                               | Plant     | Tracheophyta               | -358900000    | -323200000   | <>
Clarkeolepis                             | Animal    | Annelida                   | -330900000    | -323200000   | <>
Clathrospongia                           | Animal    | Porifera                   | -326400000    | -318100000   | <>
Claviphyllum                             | Animal    | Cnidaria                   | -326400000    | -318100000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -326400000    | -318100000   | Cleiothyridina
Cleistopora                              | Animal    | Cnidaria                   | -358900000    | -298900000   | <>
Clepsydropsis                            | Plant     | Pteridophyta               | -326400000    | -314600000   | <>
Climacammina                             | Micro     | Foraminifera               | -336000000    | -326400000   | <>
Clinopistha                              | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Cliona                                   | Animal    | Porifera                   | -330900000    | -323200000   | Cliona
Clisiophyllum                            | Animal    | Cnidaria                   | -326400000    | -318100000   | <>
Cluthoceras                              | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Coccosteus                               | Animal    | Chordata                   | -358900000    | -323200000   | Coccosteus
Cochliodus                               | Animal    | Chordata                   | -358900000    | -323200000   | <>
Codaster                                 | Animal    | Echinodermata              | -326400000    | -318100000   | <>
Codonotheca                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Coelocaulus                              | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Coelocrinus                              | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Coelosporella                            | Plant     | Chlorophyta                | -330900000    | -323200000   | <>
Coledium                                 | Animal    | Brachiopoda                | -326400000    | -314600000   | <>
Colpites                                 | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Colpodexylon                             | Plant     | Lycopodophyta              | -358900000    | -323200000   | <>
Columbiapora                             | Plant     | Chlorophyta                | -330900000    | -323200000   | <>
Composita                                | Animal    | Brachiopoda                | -326400000    | -306950000   | Composita
Compsaster                               | Animal    | Echinodermata              | -326400000    | -318100000   | <>
Compsonema                               | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Comuquia                                 | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Condranema                               | Animal    | Bryozoa                    | -330900000    | -323200000   | <>
Condraoceras                             | Animal    | Mollusca                   | -326400000    | -318100000   | Condraoceras
Conocardium                              | Animal    | Mollusca                   | -336000000    | -326400000   | Conocardium
Conularia                                | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Converrucosisporites                     | Plant     | Pteridophyta               | -358900000    | -252170000   | <>
Convolutispora                           | Plant     | Pteridophyta               | -326400000    | -314600000   | <>
Cooleyella                               | Animal    | Chordata                   | -339400000    | -326400000   | <>
Copodus                                  | Animal    | Chordata                   | -358900000    | -323200000   | <>
Cordaites                                | Plant     | Pinophyta                  | -326400000    | -314600000   | Cordaites
Cornucarpus                              | Plant     | Gymnospermophyta           | -358900000    | -323200000   | <>
Cornuella                                | Animal    | Mollusca                   | -326400000    | -318100000   | Cornuella
Cornulites                               | Animal    | Lophotrochozoa             | -330900000    | -323200000   | Cornulites
Cornuspira                               | Micro     | Foraminifera               | -339400000    | -318100000   | <>
Corwenia                                 | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Corynepteris                             | Plant     | Tracheophyta               | -358900000    | -323200000   | <>
Cosmacanthus                             | Animal    | Chordata                   | -358900000    | -323200000   | Cosmacanthus
