Bairdianella                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Bairdiolites                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Baisalina                                | Micro     | Foraminifera               | -254170000    | -252170000   | <>
Bajkuria                                 | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Bakevellia                               | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Balymotikha                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Bandoproductus                           | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Baoqingichthys                           | Animal    | Chordata                   | -254170000    | -252170000   | <>
Barasaurus                               | Animal    | Chordata                   | -2.599e+08    | -252170000   | Barasaurus
Barbclabornia                            | Animal    | Chordata                   | -298900000    | -252170000   | Barbclabornia
Bardella                                 | Plant     | Coniferophyta              | -298900000    | -252170000   | Bardella
Baschkirina                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Basilodon                                | Animal    | Chordata                   | -2.599e+08    | -252170000   | Basilodon
Basslerella                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Basterotia                               | Animal    | Mollusca                   | -254170000    | -252170000   | Basterotia
Bathymyonia                              | Animal    | Brachiopoda                | -2.599e+08    | -252170000   | <>
Batostomella                             | Animal    | Bryozoa                    | -298900000    | -252170000   | <>
Batrachichnus                            | Animal    | Chordata                   | -2.599e+08    | -252170000   | <>
Baylea                                   | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Beaufortiscus                            | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Bekkerscytina                            | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites
Belemnopteris                            | Plant     | Pteridophyta               | -268800000    | -252170000   | <>
Bellerophon                              | Animal    | Mollusca                   | -254170000    | -252170000   | Bellerophon
Belmomantis                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Belmontia                                | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Belmontocarta                            | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
