Amphisorus                               | Micro     | Foraminifera               | -11608000     | -2588000     | <>
Amphissa                                 | Animal    | Mollusca                   | -7246000      | -5333000     | Amphissa_(gastropod)
Amphistegina                             | Micro     | Foraminifera               | -11608000     | -5333000     | Amphistegina
Amphiuma                                 | Animal    | Chordata                   | -10300000     | -4900000     | Amphiuma
Amphiura                                 | Animal    | Echinodermata              | -11608000     | -5333000     | Amphiura
Ampullina                                | Animal    | Mollusca                   | -11608000     | -5333000     | Ampullina
Amusium                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Amusium
Amussiopecten                            | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Amyclina                                 | Animal    | Mollusca                   | -23030000     | -5333000     | <>
Amygdalum                                | Animal    | Mollusca                   | -6500000      | -5333000     | Amygdalum
Anabernicula                             | Animal    | Chordata                   | -23030000     | -2588000     | Anabernicula
Anacardites                              | Plant     | Spermatophyta              | -15970000     | -5333000     | <>
Anacardium                               | Plant     | Spermatophyta              | -33900000     | -5333000     | Anacardium
Anadara                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Anadara
Anancus                                  | Animal    | Chordata                   | -11608000     | -2588000     | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -23030000     | -2588000     | <>
Anapella                                 | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Anapterus                                | Animal    | Chordata                   | -7246000      | -5333000     | <>
Anarthropora                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Anas                                     | Animal    | Chordata                   | -8700000      | -5333000     | Anas
Anaspis                                  | Animal    | Arthropoda                 | -11608000     | -5333000     | Anaspis
Anatis                                   | Animal    | Arthropoda                 | -7246000      | -5333000     | Anatis
Anatochoerus                             | Animal    | Chordata                   | -9000000      | -6800000     | <>
Anatoma                                  | Animal    | Mollusca                   | -11620000     | -5333000     | Anatoma
Anax                                     | Animal    | Arthropoda                 | -7246000      | -5333000     | Anax
Anazola                                  | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Anchitheriomys                           | Animal    | Chordata                   | -15970000     | -5333000     | Anchitheriomys
Anchitherium                             | Animal    | Chordata                   | -11608000     | -5333000     | Anchitherium
Ancilla                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Ancilla_(gastropod)
Ancylotherium                            | Animal    | Chordata                   | -11608000     | -5333000     | Ancylotherium
Ancylus                                  | Animal    | Mollusca                   | -8700000      | -5333000     | Ancylus
Andalgalornis                            | Animal    | Chordata                   | -9000000      | -6800000     | Andalgalornis
Andromeda                                | Plant     | Spermatophyta              | -11608000     | -5333000     | Andromeda_polifolia
Anenchelum                               | Animal    | Chordata                   | -23030000     | -5333000     | <>
Angaria                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Angaria_(gastropod)
Anguilla                                 | Animal    | Chordata                   | -7246000      | -5333000     | Anguilla
Anguis                                   | Animal    | Chordata                   | -11608000     | -5333000     | Anguis
Angulus                                  | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Anhinga                                  | Animal    | Chordata                   | -10300000     | -4900000     | Anhinga
Anisocoenia                              | Animal    | Cnidaria                   | -11608000     | -5333000     | <>
Anisodon                                 | Animal    | Chordata                   | -11608000     | -5333000     | Anisodon
Anisops                                  | Animal    | Arthropoda                 | -7246000      | -5333000     | <>
Anisospinos                              | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Anisus                                   | Animal    | Mollusca                   | -11608000     | -5333000     | Anisus
Annachlamys                              | Animal    | Mollusca                   | -11608000     | -5333000     | Annachlamys
Annectocyma                              | Animal    | Bryozoa                    | -7246000      | -5333000     | <>
Annulispora                              | Plant     | Bryophyta                  | -11608000     | -5333000     | <>
Anodonta                                 | Animal    | Mollusca                   | -10300000     | -4900000     | Anodonta
Anodontia                                | Animal    | Mollusca                   | -11608000     | -5333000     | Anodontia
Anodontites                              | Animal    | Mollusca                   | -11608000     | -5333000     | Anodontites
Anomalina                                | Micro     | Foraminifera               | -11620000     | -3600000     | <>
Anomalinoides                            | Micro     | Foraminifera               | -15970000     | -5333000     | <>
Anomalocardia                            | Animal    | Mollusca                   | -11608000     | -5333000     | Anomalocardia
Anomalomys                               | Animal    | Chordata                   | -23030000     | -5333000     | <>
Anomia                                   | Animal    | Mollusca                   | -10300000     | -4900000     | Anomia_(bivalve)
Anomocytheridea                          | Animal    | Arthropoda                 | -11608000     | -5333000     | <>
Anotodus                                 | Animal    | Chordata                   | -11608000     | -5333000     | <>
Anouroneomys                             | Animal    | Chordata                   | -10300000     | -4900000     | <>
Anourosorex                              | Animal    | Chordata                   | -8700000      | -5333000     | Anourosorex
Anoxypristis                             | Animal    | Chordata                   | -7246000      | -4900000     | Anoxypristis
Anser                                    | Animal    | Chordata                   | -11608000     | -2588000     | Anser_(bird)
Ansomys                                  | Animal    | Chordata                   | -23030000     | -5333000     | <>
Antalis                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Antalis
Antarctidromia                           | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Antecalomys                              | Animal    | Chordata                   | -10300000     | -4900000     | <>
Antemus                                  | Animal    | Chordata                   | -23030000     | -5333000     | <>
Antennarius                              | Animal    | Chordata                   | -7246000      | -5333000     | Antennarius
Anthaxia                                 | Animal    | Arthropoda                 | -11608000     | -5333000     | Anthaxia
Anthemiphyllia                           | Animal    | Cnidaria                   | -7246000      | -5333000     | <>
Antholithes                              | Plant     | Pteridospermophyta         | -23030000     | -5333000     | <>
Anthracomys                              | Animal    | Chordata                   | -8700000      | -5333000     | <>
Anticorbula                              | Animal    | Mollusca                   | -15970000     | -5333000     | <>
Antidorcas                               | Animal    | Chordata                   | -11608000     | -2588000     | Antidorcas
Antigona                                 | Animal    | Mollusca                   | -11608000     | -5333000     | Antigona_(bivalve)
Antigonia                                | Animal    | Chordata                   | -11608000     | -5333000     | Antigonia_(fish)
Antiguastrea                             | Animal    | Cnidaria                   | -15970000     | -5333000     | <>
Antillipecten                            | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Antillocyathus                           | Animal    | Cnidaria                   | -11608000     | -3600000     | <>
Antillophos                              | Animal    | Mollusca                   | -11608000     | -5333000     | Antillophos
Antillophyllia                           | Animal    | Cnidaria                   | -11608000     | -5333000     | Antillophyllia
Antilope                                 | Animal    | Chordata                   | -11620000     | -2588000     | Antilope
Antimyctophum                            | Animal    | Chordata                   | -11608000     | -6500000     | <>
Antropora                                | Animal    | Bryozoa                    | -7246000      | -5333000     | Antropora
Antrozous                                | Animal    | Chordata                   | -10300000     | -1800000     | Antrozous
Aonyx                                    | Animal    | Chordata                   | -7246000      | -2588000     | Aonyx
Apalone                                  | Animal    | Chordata                   | -10300000     | -4900000     | Apalone
Aphaenogaster                            | Animal    | Arthropoda                 | -7246000      | -5333000     | Aphaenogaster
Aphananthe                               | Plant     | Spermatophyta              | -11608000     | -3600000     | Aphananthe
Aphanius                                 | Animal    | Chordata                   | -11608000     | -5333000     | Aphanius
Aphelesia                                | Animal    | Brachiopoda                | -7246000      | -5333000     | <>
Aphelops                                 | Animal    | Chordata                   | -10300000     | -4900000     | Aphelops
Aphera                                   | Animal    | Mollusca                   | -11608000     | -5333000     | Aphera
Aphia                                    | Animal    | Chordata                   | -7246000      | -5333000     | Aphia
Aphodius                                 | Animal    | Arthropoda                 | -7246000      | -5333000     | Aphodius
Apis                                     | Animal    | Arthropoda                 | -11608000     | -5333000     | Apis
Apocricetus                              | Animal    | Chordata                   | -11608000     | -5333000     | <>
Apocynophyllum                           | Plant     | Spermatophyta              | -23030000     | -2588000     | <>
Apodemus                                 | Animal    | Chordata                   | -11608000     | -3600000     | Apodemus
Apogonoides                              | Animal    | Chordata                   | -7246000      | -5333000     | Apogonoides
Apolymetis                               | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Aporotus                                 | Animal    | Chordata                   | -11608000     | -2588000     | <>
Aporrhais                                | Animal    | Mollusca                   | -7246000      | -5333000     | Aporrhais
