Cardinia                                 | Animal    | Mollusca                   | -221500000    | -215560000   | Cardinia
Cardinioides                             | Animal    | Mollusca                   | -221500000    | -215560000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Cardita                                  | Animal    | Mollusca                   | -212000000    | -205600000   | Cardita
Cardium                                  | Animal    | Mollusca                   | -212000000    | -205600000   | Cardium
Cargninia                                | Animal    | Chordata                   | -228000000    | -208500000   | Cargninia
Carinacanthites                          | Animal    | Mollusca                   | -215560000    | -212000000   | <>
Carinacanthus                            | Animal    | Chordata                   | -228000000    | -208500000   | <>
Carinaheliosoma                          | Micro     | Radiolaria                 | -221500000    | -215560000   | <>
Carinasubcorona                          | Animal    | Chordata                   | -228000000    | -208500000   | <>
Carinathilda                             | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Carinella                                | Animal    | Chordata                   | -237000000    | -208500000   | <>
Carinokoninckina                         | Animal    | Brachiopoda                | -215560000    | -212000000   | <>
Carniaster                               | Animal    | Echinodermata              | -232000000    | -221500000   | <>
Carnites                                 | Animal    | Mollusca                   | -228000000    | -208500000   | <>
Carpathiphyllia                          | Animal    | Cnidaria                   | -232000000    | -221500000   | <>
Carsburgia                               | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Carterina                                | Micro     | Foraminifera               | -221500000    | -215560000   | Carterina
Cascadelcana                             | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Casearia                                 | Animal    | Porifera                   | -212000000    | -205600000   | Casearia
Caseosaurus                              | Animal    | Chordata                   | -221500000    | -212000000   | Caseosaurus
Cassianastraea                           | Animal    | Cnidaria                   | -232000000    | -221500000   | <>
Cassianella                              | Animal    | Mollusca                   | -212000000    | -201300000   | <>
Cassianochaetetes                        | Animal    | Porifera                   | -232000000    | -221500000   | <>
Cassianopora                             | Animal    | Bryozoa                    | -221500000    | -215560000   | <>
Cassianopsis                             | Animal    | Mollusca                   | -228000000    | -201300000   | <>
