Anchitheriomys                           | Animal    | Chordata                   | -15970000     | -13600000    | Anchitheriomys
Anchitherium                             | Animal    | Chordata                   | -12750000     | -11100000    | Anchitherium
Anchomenus                               | Animal    | Arthropoda                 | -12700000     | -11608000    | Anchomenus
Ancilla                                  | Animal    | Mollusca                   | -15970000     | -11608000    | Ancilla_(gastropod)
Ancillina                                | Animal    | Mollusca                   | -15900000     | -13650000    | Ancillina
Ancistrocrania                           | Animal    | Brachiopoda                | -13650000     | -12700000    | Ancistrocrania
Ancistrolepis                            | Animal    | Mollusca                   | -23030000     | -11608000    | Ancistrolepis
Andegameryx                              | Animal    | Chordata                   | -15970000     | -7246000     | Andegameryx
Andonia                                  | Animal    | Mollusca                   | -13820000     | -11620000    | <>
Andrena                                  | Animal    | Arthropoda                 | -12700000     | -11608000    | Andrena
Andrias                                  | Animal    | Chordata                   | -15970000     | -13600000    | Andrias
Andromeda                                | Plant     | Spermatophyta              | -13820000     | -11620000    | Andromeda_polifolia
Anenchelum                               | Animal    | Chordata                   | -23030000     | -5333000     | <>
Aneurystoma                              | Animal    | Mollusca                   | -13650000     | -12700000    | <>
Angaria                                  | Animal    | Mollusca                   | -15970000     | -11608000    | Angaria_(gastropod)
Angelosquilla                            | Animal    | Arthropoda                 | -13820000     | -11620000    | <>
Anguis                                   | Animal    | Chordata                   | -12750000     | -11100000    | Anguis
Angulogerina                             | Micro     | Foraminifera               | -13820000     | -11620000    | <>
Angulus                                  | Animal    | Mollusca                   | -13650000     | -12700000    | <>
Angustidens                              | Animal    | Chordata                   | -15970000     | -13600000    | Angustidens
Anhinga                                  | Animal    | Chordata                   | -13600000     | -10300000    | Anhinga
Anisocoenia                              | Animal    | Cnidaria                   | -15970000     | -11608000    | <>
Anisodon                                 | Animal    | Chordata                   | -20440000     | -7246000     | Anisodon
Anisodonta                               | Animal    | Mollusca                   | -15970000     | -11620000    | <>
Anisospinos                              | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Anisus                                   | Animal    | Mollusca                   | -13650000     | -11100000    | Anisus
Ankotarinja                              | Animal    | Chordata                   | -15970000     | -11608000    | <>
Annachlamys                              | Animal    | Mollusca                   | -15970000     | -11608000    | Annachlamys
Annectocyma                              | Animal    | Bryozoa                    | -13820000     | -11620000    | <>
Anniella                                 | Animal    | Chordata                   | -13600000     | -10300000    | Anniella
Anodontia                                | Animal    | Mollusca                   | -13820000     | -11620000    | <>
Anodontites                              | Animal    | Mollusca                   | -15970000     | -5333000     | Anodontites
Anomala                                  | Animal    | Arthropoda                 | -12700000     | -11608000    | Anomala
Anomalina                                | Micro     | Foraminifera               | -23030000     | -2588000     | <>
Anomalinoides                            | Micro     | Foraminifera               | -15970000     | -5333000     | <>
Anomalocardia                            | Animal    | Mollusca                   | -13820000     | -11620000    | Anomalocardia
Anomalomys                               | Animal    | Chordata                   | -12750000     | -11100000    | <>
Anomalon                                 | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Anomia                                   | Animal    | Mollusca                   | -13650000     | -12700000    | Anomia_(bivalve)
Anomocytheridea                          | Animal    | Arthropoda                 | -15970000     | -11608000    | <>
Anoteropora                              | Animal    | Bryozoa                    | -13820000     | -11620000    | <>
Anotodus                                 | Animal    | Chordata                   | -13820000     | -11620000    | <>
Anouroneomys                             | Animal    | Chordata                   | -13600000     | -10300000    | <>
Ansomys                                  | Animal    | Chordata                   | -15970000     | -13600000    | <>
Antalis                                  | Animal    | Mollusca                   | -13820000     | -11620000    | Antalis
Antarctidromia                           | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Antarctotrechus                          | Animal    | Arthropoda                 | -15970000     | -11608000    | Antarctotrechus
Antecalomys                              | Animal    | Chordata                   | -13600000     | -10300000    | <>
Antemus                                  | Animal    | Chordata                   | -15970000     | -11608000    | <>
Anthaxia                                 | Animal    | Arthropoda                 | -12700000     | -11608000    | Anthaxia
Anthoceros                               | Plant     | Anthocerophyta             | -28400000     | -11608000    | Anthoceros
Antholithes                              | Plant     | Pteridospermophyta         | -23030000     | -5333000     | <>
Anthophorites                            | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Anthracohelops                           | Animal    | Arthropoda                 | -15970000     | -11608000    | <>
Anthracotherium                          | Animal    | Chordata                   | -13650000     | -11100000    | Anthracotherium
Anthribites                              | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Anticorbula                              | Animal    | Mollusca                   | -15970000     | -5333000     | <>
Antidorcas                               | Animal    | Chordata                   | -23030000     | -2588000     | Antidorcas
Antigona                                 | Animal    | Mollusca                   | -15970000     | -11608000    | Antigona_(bivalve)
Antigone                                 | Animal    | Chordata                   | -13600000     | -10300000    | <>
Antiguastrea                             | Animal    | Cnidaria                   | -15970000     | -11620000    | <>
Antillaster                              | Animal    | Echinodermata              | -23030000     | -11608000    | <>
Antillipecten                            | Animal    | Mollusca                   | -20440000     | -11620000    | <>
Antillocyathus                           | Animal    | Cnidaria                   | -20440000     | -11620000    | <>
Antillophos                              | Animal    | Mollusca                   | -15970000     | -11608000    | Antillophos
Antilope                                 | Animal    | Chordata                   | -13820000     | -11620000    | Antilope
Antimyctophum                            | Animal    | Chordata                   | -15900000     | -13650000    | <>
Antliarhinites                           | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Antrozous                                | Animal    | Chordata                   | -15970000     | -13600000    | Antrozous
Aotus                                    | Animal    | Chordata                   | -13800000     | -11800000    | Night_monkey
Apalone                                  | Animal    | Chordata                   | -13600000     | -10300000    | Apalone
Apatosagittarius                         | Animal    | Chordata                   | -13600000     | -10300000    | Apatosagittarius
Aphanitoma                               | Animal    | Mollusca                   | -15970000     | -11608000    | Aphanitoma
Aphanopus                                | Animal    | Chordata                   | -15970000     | -11608000    | Aphanopus
Aphanus                                  | Animal    | Arthropoda                 | -12700000     | -11608000    | Aphanus
Aphelesia                                | Animal    | Brachiopoda                | -13650000     | -12700000    | <>
Aphelops                                 | Animal    | Chordata                   | -13600000     | -10300000    | Aphelops
Aphera                                   | Animal    | Mollusca                   | -13820000     | -11620000    | Aphera
Aphia                                    | Animal    | Chordata                   | -13820000     | -11620000    | Aphia
Aphodius                                 | Animal    | Arthropoda                 | -12700000     | -11608000    | Aphodius
Aphrocallistes                           | Animal    | Porifera                   | -13820000     | -11620000    | Aphrocallistes
Aphrophora                               | Animal    | Arthropoda                 | -12700000     | -11608000    | Aphrophora
Apiocypraea                              | Animal    | Mollusca                   | -13650000     | -12700000    | <>
Apis                                     | Animal    | Arthropoda                 | -12700000     | -11608000    | Apis
Apixystus                                | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Aplodinotus                              | Animal    | Chordata                   | -13600000     | -10300000    | Aplodinotus
Aplus                                    | Animal    | Mollusca                   | -13650000     | -12700000    | Aplus
Apocynophyllum                           | Plant     | Spermatophyta              | -23030000     | -11608000    | <>
Apodemus                                 | Animal    | Chordata                   | -23030000     | -11700       | Apodemus
Apolymetis                               | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Aporotus                                 | Animal    | Chordata                   | -15970000     | -11620000    | <>
Aporrhais                                | Animal    | Mollusca                   | -13650000     | -12700000    | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Aprotodon                                | Animal    | Chordata                   | -15970000     | -11608000    | <>
Apula                                    | Animal    | Mollusca                   | -15970000     | -13650000    | Apula
Aquarius                                 | Animal    | Arthropoda                 | -15970000     | -11608000    | Aquarius_(bug)
Aquilofusus                              | Animal    | Mollusca                   | -13820000     | -11620000    | <>
Aquitanastraea                           | Animal    | Cnidaria                   | -15970000     | -11620000    | <>
Aquitanophyllia                          | Animal    | Cnidaria                   | -15970000     | -11620000    | <>
Arachnopusia                             | Animal    | Bryozoa                    | -12700000     | -11608000    | <>
Aracispermum                             | Plant     | Angiospermae               | -13820000     | -11620000    | <>
Aradus                                   | Animal    | Arthropoda                 | -12700000     | -11608000    | Aradus
Aralia                                   | Plant     | Spermatophyta              | -13820000     | -11620000    | Aralia
Araloselachus                            | Animal    | Chordata                   | -13650000     | -12700000    | <>
Aramus                                   | Animal    | Chordata                   | -13600000     | -10300000    | Aramus_(bird)
Araneus                                  | Animal    | Arthropoda                 | -12700000     | -11608000    | Araneus
Arapaima                                 | Animal    | Chordata                   | -15970000     | -11608000    | Arapaima
Araucariacites                           | Plant     | Pinophyta                  | -15970000     | -11608000    | <>
Araucaria                                | Plant     | Pinophyta                  | -15970000     | -11608000    | Araucaria
Arbacina                                 | Animal    | Echinodermata              | -13820000     | -11620000    | <>
Arbutus                                  | Plant     | Spermatophyta              | -13600000     | -10300000    | Arbutus
Arca                                     | Animal    | Mollusca                   | -13650000     | -12700000    | Arca
Arcania                                  | Animal    | Arthropoda                 | -15970000     | -11620000    | <>
Archaeocetus                             | Animal    | Chordata                   | -12700000     | -11608000    | <>
Archaeodesmana                           | Animal    | Chordata                   | -23030000     | -5333000     | <>
Archaeohippus                            | Animal    | Chordata                   | -13820000     | -11620000    | Archaeohippus
Archaeolagus                             | Animal    | Chordata                   | -23030000     | -5333000     | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -13820000     | -11620000    | <>
Archaeophasianus                         | Animal    | Chordata                   | -23030000     | -5333000     | <>
Archaeopotamus                           | Animal    | Chordata                   | -23030000     | -2588000     | Archaeopotamus
Archaeotetraodon                         | Animal    | Chordata                   | -15970000     | -11608000    | <>
