Arctica                                  | Animal    | Mollusca                   | -2588000      | -11700       | Arctica_(bivalve)
Arctobyrrhus                             | Animal    | Arthropoda                 | -2588000      | -1806000     | Arctobyrrhus
Arctocephalus                            | Animal    | Chordata                   | -2588000      | 2030         | Arctocephalus
Arctodus                                 | Animal    | Chordata                   | -2588000      | -11700       | Arctodus
Arctomeles                               | Animal    | Chordata                   | -10300000     | -1800000     | <>
Arctonyx                                 | Animal    | Chordata                   | -2588000      | -781000      | Arctonyx
Arctopsyche                              | Animal    | Arthropoda                 | -2588000      | -1806000     | Arctopsyche
Arctotherium                             | Animal    | Chordata                   | -2588000      | -781000      | Arctotherium
Ardea                                    | Animal    | Chordata                   | -2588000      | -11700       | Ardea_(bird)
Ardenna                                  | Animal    | Chordata                   | -2588000      | -11700       | Ardenna
Ardeotis                                 | Animal    | Chordata                   | -2588000      | -781000      | Ardeotis
Ardipithecus                             | Animal    | Chordata                   | -7246000      | -781000      | Ardipithecus
Arenaeus                                 | Animal    | Arthropoda                 | -2588000      | -11700       | Arenaeus
Arenaria                                 | Animal    | Chordata                   | -2588000      | -11700       | Turnstone
Arene                                    | Animal    | Mollusca                   | -2588000      | 2030         | Arene
Argentina                                | Animal    | Chordata                   | -2588000      | -126000      | Argentina_(fish)
Argilloecia                              | Animal    | Arthropoda                 | -2588000      | -781000      | <>
Argobuccinum                             | Animal    | Mollusca                   | -2588000      | -11700       | Argobuccinum
Argopecten                               | Animal    | Mollusca                   | -2588000      | 2030         | Argopecten
Argophyllum                              | Plant     | Spermatophyta              | -2588000      | -11700       | Argophyllum
Argyrodendron                            | Plant     | Spermatophyta              | -2588000      | -11700       | Argyrodendron
Argyropelecus                            | Animal    | Chordata                   | -2588000      | -126000      | Argyropelecus
Argyropeza                               | Animal    | Mollusca                   | -2588000      | -781000      | Argyropeza
Argyrotheca                              | Animal    | Brachiopoda                | -2588000      | -1806000     | Argyrotheca
Ariadna                                  | Animal    | Arthropoda                 | -5333000      | -11700       | Ariadna
Arimidelphis                             | Animal    | Chordata                   | -3600000      | -1806000     | <>
Armimiltha                               | Animal    | Mollusca                   | -2588000      | -781000      | <>
Arnoglossus                              | Animal    | Chordata                   | -2588000      | -126000      | Arnoglossus
Arossia                                  | Animal    | Arthropoda                 | -2588000      | -11700       | Arossia
Artemisia                                | Plant     | Spermatophyta              | -2588000      | -11700       | Artemisia_(plant)
Arthropoma                               | Animal    | Bryozoa                    | -2588000      | -1806000     | <>
Artigasia                                | Animal    | Chordata                   | -6800000      | -781000      | Artigasia
Arundo                                   | Plant     | Angiospermae               | -2588000      | 2030         | Arundo
Arvicanthis                              | Animal    | Chordata                   | -2588000      | 2030         | Arvicanthis
Arvicola                                 | Animal    | Chordata                   | -2588000      | 2030         | Arvicola
Arytera                                  | Plant     | Spermatophyta              | -2588000      | -11700       | Arytera
Asaphidion                               | Animal    | Arthropoda                 | -2588000      | -1806000     | Asaphidion
Asaphis                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Ascarina                                 | Plant     | Spermatophyta              | -2588000      | -781000      | Ascarina
Asio                                     | Animal    | Chordata                   | -11608000     | -11700       | Asio
Asoriculus                               | Animal    | Chordata                   | -2588000      | -11700       | Asoriculus
Aspatharia                               | Animal    | Mollusca                   | -5333000      | -11700       | Aspatharia
Aspella                                  | Animal    | Mollusca                   | -2588000      | -11700       | Aspella
Asperula                                 | Plant     | Spermatophyta              | -2588000      | -11700       | Asperula
Aspidium                                 | Plant     | Pteridophyta               | -2588000      | -11700       | Aspidium
Asplenium                                | Plant     | Pteridophyta               | -2588000      | -11700       | Asplenium
Assiminea                                | Animal    | Mollusca                   | -2588000      | 2030         | Assiminea
Assiminia                                | Animal    | Mollusca                   | -3600000      | -781000      | <>
Astarte                                  | Animal    | Mollusca                   | -2588000      | -11700       | Astarte
Astelia                                  | Plant     | Angiospermae               | -2588000      | -126000      | Astelia
Asterias                                 | Animal    | Echinodermata              | -2588000      | -11700       | Asterias
Asterigerina                             | Micro     | Foraminifera               | -2588000      | -781000      | <>
Asterosmilia                             | Animal    | Cnidaria                   | -2588000      | -781000      | Asterosmilia
Astraea                                  | Animal    | Mollusca                   | -2588000      | -11700       | Astraea
Astralium                                | Animal    | Mollusca                   | -2588000      | -781000      | Astralium
Astrangia                                | Animal    | Cnidaria                   | -2588000      | -11700       | Astrangia
Astrea                                   | Animal    | Cnidaria                   | -2588000      | 2030         | <>
Astreopora                               | Animal    | Cnidaria                   | -2588000      | 2030         | Astreopora
Astrhelia                                | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Astrocoenia                              | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Astroides                                | Animal    | Cnidaria                   | -2588000      | -781000      | Astroides
Astyris                                  | Animal    | Mollusca                   | -2588000      | -11700       | Astyris
Atactodea                                | Animal    | Mollusca                   | -2588000      | -11700       | <>
Atelecyclus                              | Animal    | Arthropoda                 | -2588000      | -11700       | Atelecyclus
Atelerix                                 | Animal    | Chordata                   | -2588000      | 2030         | Atelerix
Athene                                   | Animal    | Chordata                   | -2588000      | -11700       | Athene_(bird)
Atherina                                 | Animal    | Chordata                   | -2588000      | -781000      | Atherina
Atherosperma                             | Plant     | Spermatophyta              | -2588000      | -126000      | Atherosperma
Atherurus                                | Animal    | Chordata                   | -2588000      | -781000      | Atherurus
Atheta                                   | Animal    | Arthropoda                 | -2588000      | -1806000     | Atheta
Athrotaxis                               | Plant     | Pinophyta                  | -2588000      | -126000      | Athrotaxis
Atilax                                   | Animal    | Chordata                   | -2588000      | 2030         | Atilax
Atlanta                                  | Animal    | Mollusca                   | -2588000      | -11700       | Atlanta
Atomaria                                 | Animal    | Arthropoda                 | -2588000      | -1806000     | Atomaria
Atopomys                                 | Animal    | Chordata                   | -2588000      | -11700       | <>
Atractosteus                             | Animal    | Chordata                   | -2588000      | -11700       | Atractosteus
Atrina                                   | Animal    | Mollusca                   | -2588000      | -11700       | Atrina
Attiliosa                                | Animal    | Mollusca                   | -2588000      | -781000      | Attiliosa
Atys                                     | Animal    | Mollusca                   | -2588000      | 2030         | Atys_(gastropod)
Auchenoceros                             | Animal    | Chordata                   | -2400000      | -1630000     | Auchenoceros
Auchenoglanis                            | Animal    | Chordata                   | -5333000      | -11700       | Auchenoglanis
Aulacomya                                | Animal    | Mollusca                   | -2588000      | -11700       | Aulacomya
Aurila                                   | Animal    | Arthropoda                 | -2588000      | -781000      | <>
Australopithecus                         | Animal    | Chordata                   | -2588000      | -11700       | Australopithecus
Austrocypraea                            | Animal    | Mollusca                   | -2588000      | -1806000     | <>
Austroharpa                              | Animal    | Mollusca                   | -2588000      | -781000      | Austroharpa
Austrothyris                             | Animal    | Brachiopoda                | -2588000      | -1806000     | <>
Auxis                                    | Animal    | Chordata                   | -2588000      | -1806000     | Auxis
Avicula                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Awashia                                  | Animal    | Chordata                   | -5333000      | -11700       | <>
Axarus                                   | Animal    | Arthropoda                 | -2588000      | -1806000     | Axarus
Axinopsida                               | Animal    | Mollusca                   | -2588000      | 2030         | <>
Axinus                                   | Animal    | Mollusca                   | -2588000      | -11700       | <>
Axis                                     | Animal    | Chordata                   | -2588000      | -11700       | Axis_(genus)
Axius                                    | Animal    | Arthropoda                 | -2588000      | -11700       | Axius_(crustacean)
Aythya                                   | Animal    | Chordata                   | -2588000      | -11700       | Aythya
Azolla                                   | Plant     | Pteridophyta               | -2588000      | -11700       | Azolla
Azorinus                                 | Animal    | Mollusca                   | -5333000      | -11700       | <>
Aztlanolagus                             | Animal    | Chordata                   | -2588000      | -781000      | Aztlanolagus
Babylonia                                | Animal    | Mollusca                   | -2588000      | -11700       | Babylonia_(gastropod)
