Barremites                               | Animal    | Mollusca                   | -136400000    | -130000000   | Barremites
Barroisia                                | Animal    | Porifera                   | -136400000    | -130000000   | <>
Baryonyx                                 | Animal    | Chordata                   | -136400000    | -113000000   | Baryonyx
Bathrotomaria                            | Animal    | Mollusca                   | -139800000    | -132900000   | <>
Batrachopus                              | Animal    | Chordata                   | -145000000    | -130000000   | Batrachopus
Baugeichthys                             | Animal    | Chordata                   | -145000000    | -66000000    | <>
Beaupreaidites                           | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Becklespinax                             | Animal    | Chordata                   | -145000000    | -132900000   | Becklespinax
Becus                                    | Micro     | Radiolaria                 | -140200000    | -136400000   | <>
Belbekella                               | Animal    | Brachiopoda                | -136400000    | -130000000   | <>
Belbekiceras                             | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Belemnella                               | Animal    | Mollusca                   | -145000000    | -66000000    | Belemnella
Belemnites                               | Animal    | Mollusca                   | -136400000    | -130000000   | Belemnites
Belemnobatis                             | Animal    | Chordata                   | -139800000    | -132900000   | Belemnobatis
Belemnopsis                              | Animal    | Mollusca                   | -139800000    | -129400000   | Belemnopsis
Bellarinea                               | Plant     | Coniferophyta              | -145000000    | -130000000   | <>
Belorussiella                            | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Benthesicymus                            | Animal    | Arthropoda                 | -145000000    | -66000000    | Benthesicymus
Berenicea                                | Animal    | Bryozoa                    | -136400000    | -130000000   | <>
Bernissartia                             | Animal    | Chordata                   | -136400000    | -122460000   | Bernissartia
Bernoullius                              | Micro     | Radiolaria                 | -136400000    | -125450000   | <>
Berriasella                              | Animal    | Mollusca                   | -139800000    | -132900000   | Berriasella
Beudanticeras                            | Animal    | Mollusca                   | -145000000    | -89800000    | Beudanticeras
Beurlenichthys                           | Animal    | Chordata                   | -145000000    | -100500000   | <>
Bevhalstea                               | Plant     | Magnoliophyta              | -136400000    | -130000000   | <>
Bignonites                               | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Bilaterocoenia                           | Animal    | Cnidaria                   | -139800000    | -132900000   | <>
Binelliceras                             | Animal    | Mollusca                   | -136400000    | -130000000   | Binelliceras
Binkhorstia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Biretisporites                           | Plant     | Pteridophyta               | -139800000    | -125000000   | <>
Biscutum                                 | Plant     | Haptophyta                 | -136400000    | -130000000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -136400000    | -125450000   | <>
Blastochaetetes                          | Animal    | Porifera                   | -145000000    | -136400000   | <>
Bochianites                              | Animal    | Mollusca                   | -136400000    | -130000000   | Bochianites
Bolivinopsis                             | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Bolodon                                  | Animal    | Chordata                   | -145000000    | -136400000   | Bolodon
Botryococcus                             | Plant     | Chlorophyta                | -139800000    | -125000000   | Botryococcus
Boueina                                  | Plant     | Chlorophyta                | -136400000    | -130000000   | <>
Brachaelurus                             | Animal    | Chordata                   | -140200000    | -136400000   | Brachaelurus
Brachyopteryx                            | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -136400000    | -130000000   | Brachyphyllum
Bralitzia                                | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Bramkampella                             | Micro     | Foraminifera               | -145000000    | -136400000   | <>
Branchiocarcinus                         | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Brannerion                               | Animal    | Chordata                   | -145000000    | -100500000   | Brannerion
Breistrofferella                         | Animal    | Mollusca                   | -136400000    | -130000000   | <>
Brochocoleus                             | Animal    | Arthropoda                 | -136400000    | -130000000   | Brochocoleus
Brodiechelys                             | Animal    | Chordata                   | -139800000    | -132900000   | Brodiechelys
Brontopodus                              | Animal    | Chordata                   | -139800000    | -125450000   | Brontopodus
Brotiopsis                               | Animal    | Mollusca                   | -145000000    | -130000000   | <>
Buccicrenata                             | Micro     | Foraminifera               | -139800000    | -132900000   | <>
Buccinum                                 | Animal    | Mollusca                   | -139800000    | -132900000   | Buccinum
Buchia                                   | Animal    | Mollusca                   | -136400000    | -130000000   | <>
Buchotrigonia                            | Animal    | Mollusca                   | -139800000    | -132900000   | <>
Bukrylithus                              | Plant     | Haptophyta                 | -136400000    | -130000000   | <>
Bulla                                    | Animal    | Mollusca                   | -139800000    | -132900000   | Bulla
Bullopora                                | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Buratina                                 | Animal    | Arthropoda                 | -161200000    | -132900000   | <>
Burejospermum                            | Plant     | Ginkgophyta                | -145000000    | -130000000   | <>
Burgundia                                | Animal    | Porifera                   | -136400000    | -130000000   | Burgundia
Busnardoites                             | Animal    | Mollusca                   | -139800000    | -132900000   | <>
Buvignieria                              | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Byakudansauropus                         | Animal    | Chordata                   | -139800000    | -125000000   | <>
Cadiera                                  | Animal    | Chordata                   | -140200000    | -136400000   | <>
Cadosina                                 | Micro     | Ciliophora                 | -140200000    | -136400000   | <>
Cadulus                                  | Animal    | Mollusca                   | -139800000    | -132900000   | Cadulus
Calamophylliopsis                        | Animal    | Cnidaria                   | -139800000    | -132900000   | Calamophylliopsis
Calamopleurus                            | Animal    | Chordata                   | -145000000    | -100500000   | Calamopleurus
Calcicalathina                           | Plant     | Haptophyta                 | -139800000    | -132900000   | <>
Calcistella                              | Animal    | Porifera                   | -145000000    | -132900000   | <>
Calcligula                               | Animal    | Echinodermata              | -136400000    | -130000000   | <>
Callialasporites                         | Plant     | Coniferophyta              | -139800000    | -125000000   | <>
Callianassa                              | Animal    | Arthropoda                 | -145000000    | -100500000   | Callianassa
Caloxanthus                              | Animal    | Arthropoda                 | -145000000    | -100500000   | <>
Calpionella                              | Micro     | Ciliophora                 | -139800000    | -132900000   | Calpionella
Calpionellites                           | Micro     | Ciliophora                 | -139800000    | -132900000   | Calpionellites
Calpionellopsis                          | Micro     | Ciliophora                 | -139800000    | -132900000   | <>
Camerospongia                            | Animal    | Porifera                   | -140200000    | -136400000   | <>
Campanellula                             | Micro     | Foraminifera               | -136400000    | -125450000   | <>
Camptonectes                             | Animal    | Mollusca                   | -139800000    | -132900000   | <>
