Bonellitia                               | Animal    | Mollusca                   | -61700000     | -55800000    | Bonellitia
Borealosuchus                            | Animal    | Chordata                   | -61700000     | -56800000    | Borealosuchus
Boremys                                  | Animal    | Chordata                   | -66000000     | -63300000    | <>
Bornia                                   | Animal    | Mollusca                   | -61700000     | -55800000    | <>
Bororoa                                  | Plant     | Cycadophyta                | -66000000     | -61700000    | <>
Borsonia                                 | Animal    | Mollusca                   | -66000000     | -56000000    | Borsonia
Bothremys                                | Animal    | Chordata                   | -66000000     | -61600000    | Bothremys
Bothriostylops                           | Animal    | Chordata                   | -61700000     | -58700000    | <>
Bothrocorbula                            | Animal    | Mollusca                   | -66000000     | -58700000    | <>
Botrychium                               | Plant     | Pteridophyta               | -66000000     | -56000000    | Botrychium
Botryococcus                             | Plant     | Chlorophyta                | -100500000    | -33900000    | Botryococcus
Bottosaurus                              | Animal    | Chordata                   | -63300000     | -61700000    | Bottosaurus
Botula                                   | Animal    | Mollusca                   | -66000000     | -61600000    | Botula
Bouchardia                               | Animal    | Brachiopoda                | -66000000     | -23030000    | <>
Boueina                                  | Plant     | Chlorophyta                | -66000000     | -61600000    | <>
Bourguetia                               | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Bourgueticrinus                          | Animal    | Echinodermata              | -66000000     | -61600000    | <>
Bouryia                                  | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Brachiatusmilia                          | Animal    | Cnidaria                   | -66000000     | -61600000    | <>
Brachidontes                             | Animal    | Mollusca                   | -61700000     | -55800000    | Brachidontes
Brachiodontes                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
